Endhaltestelle;ID;geo_lat;geo_long;elevation;pv_area;pv_type;pv_kwp
Bensheim Bahnhof/ ZOB;;;;0;;;
Heppenheim Bahnhof;;;;0;;;
Weinheim Hauptbahnhof;;;;0;;;
Grasellenbach Im Erzfeld;;;;0;;;
Viernheim Bahnhof;;;;0;;;
Wald-Michelbach ZOB;;;;0;;;
Wald-Michelbach Alter Bahnhof;;;;0;;;
Bensheim Betriebshof VGG W-v.S.Str.;;;;0;;;
Lindenfels Poststraße;;;;0;;;
Nieder-Liebersbach Rathaus;;;;0;;;
Fürth Bahnhof;;;;0;;;
Hirschhorn Grundschule;;;;0;;;
Alsbach Am Hinkelstein;;;;0;;;
Bürstadt Lampertheimer Straße;;;;0;;;
Heppenheim Vogelsbergstraße;;;;0;;;
Rimbach Schulzentrum;;;;0;;;
Mörlenbach Schulzentrum;;;;0;;;
Viernheim Betriebshof Winkler;;;;0;;;
Heppenheim Graben;;;;0;;;
Gadernheim Schulzentrum;;;;0;;;
Winterkasten Eleonoren-Klinik;;;;0;;;
Wald-Michelbach Schulzentrum;;;;0;;;
Bensheim Betriebshof VGG R-Bosch Str;;;;0;;;
Wahlen Grundschule;;;;0;;;
Worms Hauptbahnhof;;;;0;;;
Gronau Am Mühlkandel;;;;0;;;
Fürth Grundschule;;;;0;;;
Fürth Gesamtschule;;;;0;;;
Heppenheim Gießener Straße;;;;0;;;
Bensheim H.-Metzendorf-Schule;;;;0;;;
Gadernheim Jarnacplatz;;;;0;;;
Birkenau Bahnhof;;;;0;;;
Auerbach Schillerschule;;;;0;;;
Heppenheim Kreiskrankenhaus;;;;0;;;
Bensheim Geschw.-Scholl-Schule;;;;0;;;
Geisenbach Ort;;;;0;;;
Ober-Abtsteinach Mackenheimer Straße;;;;0;;;
Mörlenbach Bahnhof;;;;0;;;
Heppenheim Starkenburg-Gymnasium;;;;0;;;
Viernheim Heppenheimer Straße;;;;0;;;
Bensheim G.-Scholl-Schule;;;;0;;;
Rimbach Kirche;;;;0;;;
Fehlheim Mühlgrabenstraße;;;;0;;;
Zwingenberg Schule;;;;0;;;
Erbach Post;;;;0;;;
Reichelsheim Schwimmbad;;;;0;;;
Bensheim G.-Sch.-S./Berl.Ring;;;;0;;;
Mörlenbach Grundschule;;;;0;;;
Unter-Abtsteinach Schule;;;;0;;;
Hornbach Herrenwiese;;;;0;;;
Kirschhausen Schule;;;;0;;;
Lindenfels Carl-Orff-Schule;;;;0;;;
Lorsch Wingertsbergschule;;;;0;;;
Mitlechtern Mitte;;;;0;;;
Ober-Laudenbach Finstertal;;;;0;;;
Reichenbach Schule;;;;0;;;
Gorxheim Gorxenbuckel;;;;0;;;
Hirschhorn Heinrich-Weis-Straße;;;;0;;;
Wattenheim Ort;;;;0;;;
Zotzenbach Schule;;;;0;;;
Bensheim Karl-Kübel-Schule;;;;0;;;
Gadern Dorfplatz;;;;0;;;
Vöckelsbach Feuerwehrhaus;;;;0;;;
Birkenau Grundschule;;;;0;;;
Reisen Bahnhof;;;;0;;;
Lorsch Siemensschule;;;;0;;;
Lampertheim Bahnhof;;;;0;;;
Balkhausen Bürgerhalle;;;;0;;;
Erbach Gesundheiszentrum;;;;0;;;
Staffel;;;;0;;;
Einhausen Almenstraße;;;;0;;;
Viernheim Schulzentrum;;;;0;;;
Birkenau Langenbergschule;;;;0;;;
Neunkirchen Heilquelle;;;;0;;;
Hirschhorn Bahnhof;;;;0;;;
Birkenau Schloss;;;;0;;;
Bürstadt Bahnhof;;;;0;;;
Ober-Hambach Odenwaldschule;;;;0;;;
Erlenbach Schule;;;;0;;;
Trösel Bergweg;;;;0;;;
Bonsweiher Waldparkplatz;;;;0;;;
Oberflockenbach Rose;;;;0;;;
Rimbach Bahnhof;;;;0;;;
Lampertheim Schulzent. West;;;;0;;;
Krumbach Rotenbergstraße;;;;0;;;
Bensheim Kirchbergschule;;;;0;;;
Kreidach Unterdorf;;;;0;;;
Siedelsbrunn Tannenberg/Morgenstern;;;;0;;;
Hähnlein Engpass;;;;0;;;
Unter-Abtsteinach Brücke;;;;0;;;
Bensheim Bensheimer Werkstätten;;;;0;;;
Viernheim Bürgerhaus;;;;0;;;
Gadernheim Linde;;;;0;;;
Bürstadt Erich-Kästner-Schule;;;;0;;;
Unter-Schönmattenwag Kreuz;;;;0;;;
Unter-Schönmattenwag Kirche;;;;0;;;
Unter-Schönmattenwag Flockenbusch;;;;0;;;
Unter-Schönmattenwag Betriebshof BVÜ;;;;0;;;
Glattbach Ort;;;;0;;;
Bickenbach Bürgerhaus;;;;0;;;
Trösel Daumbergschule;;;;0;;;
Viernheim Röntgenstraße;;;;0;;;
Straßburg Ort;;;;0;;;
Brandau Feuerwehr;;;;0;;;
Siedelsbrunn Buddhas Weg;;;;0;;;
Seidenbuch Mitte;;;;0;;;
Seidenbach Ort;;;;0;;;
Schlierbach Betriebshof Pfeifer;;;;0;;;
Scheuerberg Seidenbacher Weg;;;;0;;;
Viernheim Nibelungenschule;;;;0;;;
Fürth Marktplatz;;;;0;;;
Rodau Hauptstraße;;;;0;;;
Beedenkirchen An den Römersteinen;;;;0;;;
Zotzenbach Trommhalle;;;;0;;;
Fehlheim Kirche;;;;0;;;
Wünschmichelbach Daummühle;;;;0;;;
Auerbach Saarstraße;;;;0;;;
Fürth Finanzamt;;;;0;;;
Winkel Ort;;;;0;;;
Weschnitz Wendeplatz;;;;0;;;
Weschnitz Mitte;;;;0;;;
Weinheim Wormser Straße;;;;0;;;
Weinheim D.-Bonhoeffer-Schule;;;;0;;;
Viernheim Walter-Gropius-Allee;;;;0;;;
Einhausen Siedlung;;;;0;;;
Beedenkirchen Mitte;;;;0;;;
Beerfelden Betriebshof Sauter;;;;0;;;
Wald-Michelbach Polizei;;;;0;;;
Wald-Michelbach Einkaufszentrum;;;;0;;;
Bensheim AKG;;;;0;;;
Wahlen Mitte;;;;0;;;
Bensheim An der Hartbrücke;;;;0;;;
Einhausen Jacobstraße;;;;0;;;
Scharbach Brücke;;;;0;;;
Rimbach Stadion;;;;0;;;
Rodau Friedhof;;;;0;;;
Lindenfels Mitte;;;;0;;;
Heddesheim Bus Betr Hof VGG(Sauter Spedition0X;;;;0;;;
Lörzenbach Mitlechterner Straße;;;;0;;;
Löhrbach Alte Landstraße;;;;0;;;
Bobstadt Sporthalle;;;;0;;;
Heppenheim Betriebshof Marquardt;;;;0;;;
Lorsch Odenwaldallee;;;;0;;;
Lorsch Betr.Hof Kollerer Industriestr;;;;0;;;
Lorsch Bahnhof;;;;0;;;
Biblis Betriebshof Fa. Müller;;;;0;;;
Lindenfels Kirschenweg;;;;0;;;
Mittershausen Abzweig;;;;0;;;
Heppenheim Christuskirche;;;;0;;;
Lauten-Weschnitz Ort;;;;0;;;
Langwaden Gemeinschaftshaus;;;;0;;;
Hornbach Mitte;;;;0;;;
Heppenheim Firma Marquardt;;;;0;;;
Auerbach Fasanenweg;;;;0;;;
Krumbach Betriebshof Lannert;;;;0;;;
Kocherbach Mitte;;;;0;;;
Heppenheim Niedermühlstraße;;;;0;;;
Mitlechtern Schule;;;;0;;;
Mörlenbach Abzw. Groß Breitenbach;;;;0;;;
Juhöhe Juhöhe;;;;0;;;
Birkenau Brücke;;;;0;;;
Bensheim Platanenallee;;;;0;;;
Hirschhorn Ersheim Gewerbegebiet;;;;0;;;
Reisen Odenwaldstraße;;;;0;;;
Bickenbach Mitte;;;;0;;;
Großsachsen Rose;;;;0;;;
Reichenbach Markt;;;;0;;;
Hammelbach Betriebshof Rothermel;;;;0;;;
Reichelsheim Gesamtschule;;;;0;;;
Reichelsheim Betriebshof;;;;0;;;
Ober-Mengelbach Ort;;;;0;;;
Biblis Berliner Straße;;;;0;;;
Hammelbach Jägerhof;;;;0;;;
Hammelbach Markt;;;;0;;;
Bensheim Schillerstraße;;;;0;;;
Bensheim Schloß Falkenhof;;;;0;;;
Heddesbach Heddesbach;;;;0;;;
Biblis Bahnhof;;;;0;;;
Mörlenbach Schlesierstraße;;;;0;;;
Eulsbach Ort;;;;0;;;
Mörlenbach Fürther Straße;;;;0;;;
Heppenheim Zollhausstraße/B3;;;;0;;;
