time,procurement
2022-03-07 04:00:00,0.07
2022-03-07 05:00:00,0.09
2022-03-07 06:00:00,0.11
2022-03-07 07:00:00,0.17
2022-03-07 08:00:00,0.22
2022-03-07 09:00:00,0.22
2022-03-07 10:00:00,0.20
2022-03-07 11:00:00,0.20
2022-03-07 12:00:00,0.21
2022-03-07 13:00:00,0.22
2022-03-07 14:00:00,0.24
2022-03-07 15:00:00,0.24
2022-03-07 16:00:00,0.26
2022-03-07 17:00:00,0.29
2022-03-07 18:00:00,0.26
2022-03-07 19:00:00,0.25
2022-03-07 20:00:00,0.21
2022-03-07 21:00:00,0.19
2022-03-07 22:00:00,0.22
2022-03-07 23:00:00,0.17
2022-03-08 00:00:00,0.18
2022-03-08 01:00:00,0.19
2022-03-08 02:00:00,0.17
2022-03-08 03:00:00,0.18
2022-03-08 04:00:00,0.19
2022-03-08 05:00:00,0.19
2022-03-08 06:00:00,0.24
2022-03-08 07:00:00,0.30
2022-03-08 08:00:00,0.33
2022-03-08 09:00:00,0.34
2022-03-08 10:00:00,0.33
2022-03-08 11:00:00,0.34
2022-03-08 12:00:00,0.33
2022-03-08 13:00:00,0.33
2022-03-08 14:00:00,0.34
2022-03-08 15:00:00,0.34
2022-03-08 16:00:00,0.34
2022-03-08 17:00:00,0.35
2022-03-08 18:00:00,0.34
2022-03-08 19:00:00,0.31
2022-03-08 20:00:00,0.26
2022-03-08 21:00:00,0.22
2022-03-08 22:00:00,0.22
2022-03-08 23:00:00,0.19
2022-03-09 00:00:00,0.19
2022-03-09 01:00:00,0.17
2022-03-09 02:00:00,0.15
2022-03-09 03:00:00,0.14
2022-03-09 04:00:00,0.15
2022-03-09 05:00:00,0.20
2022-03-09 06:00:00,0.23
2022-03-09 07:00:00,0.28
2022-03-09 08:00:00,0.29
2022-03-09 09:00:00,0.29
2022-03-09 10:00:00,0.28
2022-03-09 11:00:00,0.26
2022-03-09 12:00:00,0.25
2022-03-09 13:00:00,0.24
2022-03-09 14:00:00,0.24
2022-03-09 15:00:00,0.25
2022-03-09 16:00:00,0.27
2022-03-09 17:00:00,0.30
2022-03-09 18:00:00,0.29
2022-03-09 19:00:00,0.26
2022-03-09 20:00:00,0.25
2022-03-09 21:00:00,0.23
2022-03-09 22:00:00,0.23
2022-03-09 23:00:00,0.21